stage	event	scene	document	buffer	a	b	c
State Mutation Complete	69	0	0	0	0	0	1
Event Dispatch Begin	70	0	0	0	8	1	0
State Mutation Complete	70	0	0	0	0	0	1
Event Dispatch Begin	71	0	0	0	8	1	0
State Mutation Complete	71	0	0	0	0	0	1
Event Dispatch Begin	72	0	0	0	8	1	0
State Mutation Complete	72	0	0	0	0	0	1
Event Dispatch Begin	73	0	0	0	8	1	0
State Mutation Complete	73	0	0	0	0	0	1
Event Dispatch Begin	74	0	0	0	8	1	0
State Mutation Complete	74	0	0	0	0	0	1
Event Dispatch Begin	75	0	0	0	8	1	0
State Mutation Complete	75	0	0	0	0	0	1
Event Dispatch Begin	76	0	0	0	8	1	0
State Mutation Complete	76	0	0	0	0	0	1
Event Dispatch Begin	77	0	0	0	8	1	0
State Mutation Complete	77	0	0	0	0	0	1
Event Dispatch Begin	78	0	0	0	2	1	0
State Mutation Complete	78	0	0	0	0	0	1
Event Dispatch Begin	79	0	0	0	8	1	0
State Mutation Complete	79	0	0	0	0	0	1
Atlas Publication Begin	80	4	0	0	80	0	0
Atlas Publication Complete	80	4	0	0	0	0	0
Event Dispatch Begin	80	0	0	0	4	1	0
Frame Build Begin	80	4	0	0	1148190720	1141309440	0
Frame Build Complete	80	4	0	0	86	80	0
Glyph Atlas Summary	80	4	0	0	89	0	75264
Layout Cache Summary	80	4	0	0	4	0	1952
Native Event Handler Latency	80	0	0	0	238583	0	0
Native Frame Queue Latency	80	0	0	0	10786000	0	0
Native GPU Terminal Observed Latency	80	0	0	0	18546625	0	0
Native Submission Latency	80	0	0	0	192542	0	0
Native Terminal Record Latency	80	0	0	0	18547458	0	0
State Mutation Complete	80	0	0	0	1	0	1
Text Summary	80	4	0	0	2	0	0
Visible Layout Begin	80	4	0	0	0	0	0
Visible Layout Complete	80	4	0	0	4	0	0
Event Dispatch Begin	81	0	0	0	8	1	0
State Mutation Complete	81	0	0	0	0	0	1
Atlas Publication Begin	82	5	0	0	80	0	0
Atlas Publication Complete	82	5	0	0	0	0	0
Event Dispatch Begin	82	0	0	0	2	1	0
Frame Build Begin	82	5	0	0	1148190720	1141309440	0
Frame Build Complete	82	5	0	0	86	80	0
Glyph Atlas Summary	82	5	0	0	89	0	75264
Layout Cache Summary	82	5	0	0	4	0	1952
Native Event Handler Latency	82	0	0	0	120833	0	0
Native Frame Queue Latency	82	0	0	0	23073125	0	0
Native GPU Terminal Observed Latency	82	0	0	0	34091708	0	0
Native Submission Latency	82	0	0	0	106292	0	0
Native Terminal Record Latency	82	0	0	0	42425042	0	0
State Mutation Complete	82	0	0	0	1	0	2
Text Summary	82	5	0	0	2	0	0
Visible Layout Begin	82	5	0	0	0	0	0
Visible Layout Complete	82	5	0	0	4	0	0
Event Dispatch Begin	83	0	0	0	8	2	0
State Mutation Complete	83	0	0	0	0	0	2
Event Dispatch Begin	84	0	0	0	2	2	0
State Mutation Complete	84	0	0	0	0	0	2
Event Dispatch Begin	85	0	0	0	8	2	0
State Mutation Complete	85	0	0	0	0	0	2
Event Dispatch Begin	86	0	0	0	1	2	0
State Mutation Complete	86	0	0	0	0	0	2
Event Dispatch Begin	87	0	0	0	8	2	0
State Mutation Complete	87	0	0	0	0	0	2
Event Dispatch Begin	88	0	0	0	1	2	0
State Mutation Complete	88	0	0	0	0	0	2
Event Dispatch Begin	89	0	0	0	8	2	0
State Mutation Complete	89	0	0	0	0	0	2
Event Dispatch Begin	90	0	0	0	1	2	0
State Mutation Complete	90	0	0	0	0	0	2
Event Dispatch Begin	91	0	0	0	8	2	0
State Mutation Complete	91	0	0	0	0	0	2
Event Dispatch Begin	92	0	0	0	1	2	0
State Mutation Complete	92	0	0	0	0	0	2
Event Dispatch Begin	93	0	0	0	8	2	0
State Mutation Complete	93	0	0	0	0	0	2
Event Dispatch Begin	94	0	0	0	1	2	0
State Mutation Complete	94	0	0	0	0	0	2
Event Dispatch Begin	95	0	0	0	8	2	0
State Mutation Complete	95	0	0	0	0	0	2
Event Dispatch Begin	96	0	0	0	1	2	0
State Mutation Complete	96	0	0	0	0	0	2
Event Dispatch Begin	97	0	0	0	8	2	0
State Mutation Complete	97	0	0	0	0	0	2
Event Dispatch Begin	98	0	0	0	1	2	0
State Mutation Complete	98	0	0	0	0	0	2
Event Dispatch Begin	99	0	0	0	8	2	0
State Mutation Complete	99	0	0	0	0	0	2
Event Dispatch Begin	100	0	0	0	1	2	0
State Mutation Complete	100	0	0	0	0	0	2
Event Dispatch Begin	101	0	0	0	8	2	0
State Mutation Complete	101	0	0	0	0	0	2
Atlas Publication Begin	102	6	1	1	80	0	0
Atlas Publication Complete	102	6	1	1	0	0	0
Event Dispatch Begin	102	0	0	0	1	2	0
Frame Build Begin	102	6	1	1	1148190720	1141309440	0
Frame Build Complete	102	6	1	1	86	80	0
Glyph Atlas Summary	102	6	1	1	89	0	75264
