stage	event	scene	document	buffer	a	b	c
State Mutation Complete	145	0	10	10	0	0	11
Event Dispatch Begin	146	0	10	10	1	11	0
State Mutation Complete	146	0	10	10	0	0	11
Event Dispatch Begin	147	0	10	10	8	11	0
State Mutation Complete	147	0	10	10	0	0	11
Atlas Publication Begin	148	12	11	11	23	0	0
Atlas Publication Complete	148	12	11	11	2	5888	1
Event Dispatch Begin	148	0	10	10	5	11	0
Frame Build Begin	148	12	11	11	1148190720	1141309440	0
Frame Build Complete	148	12	11	11	28	23	0
Glyph Atlas Summary	148	12	11	11	22	1	70400
Layout Cache Summary	148	12	11	11	0	1	1504
State Mutation Complete	148	0	11	11	1	1	12
Text Summary	148	12	11	11	2	1	1
Visible Layout Begin	148	12	11	11	0	0	0
Visible Layout Complete	148	12	11	11	1	0	0
Event Dispatch Begin	149	0	11	11	8	12	0
State Mutation Complete	149	0	11	11	0	0	12
Event Dispatch Begin	150	0	11	11	1	12	0
State Mutation Complete	150	0	11	11	0	0	12
Event Dispatch Begin	151	0	11	11	8	12	0
State Mutation Complete	151	0	11	11	0	0	12
Event Dispatch Begin	152	0	11	11	1	12	0
State Mutation Complete	152	0	11	11	0	0	12
Event Dispatch Begin	153	0	11	11	8	12	0
State Mutation Complete	153	0	11	11	0	0	12
Event Dispatch Begin	154	0	11	11	1	12	0
State Mutation Complete	154	0	11	11	0	0	12
Event Dispatch Begin	155	0	11	11	8	12	0
State Mutation Complete	155	0	11	11	0	0	12
Event Dispatch Begin	156	0	11	11	1	12	0
State Mutation Complete	156	0	11	11	0	0	12
Event Dispatch Begin	157	0	11	11	8	12	0
State Mutation Complete	157	0	11	11	0	0	12
Atlas Publication Begin	158	13	12	12	24	0	0
Atlas Publication Complete	158	13	12	12	0	0	0
Event Dispatch Begin	158	0	11	11	5	12	0
Frame Build Begin	158	13	12	12	1148190720	1141309440	0
Frame Build Complete	158	13	12	12	29	24	0
Glyph Atlas Summary	158	13	12	12	24	0	70400
Layout Cache Summary	158	13	12	12	0	1	1568
State Mutation Complete	158	0	12	12	1	1	13
Text Summary	158	13	12	12	2	0	1
Visible Layout Begin	158	13	12	12	0	0	0
Visible Layout Complete	158	13	12	12	1	0	0
Event Dispatch Begin	159	0	12	12	8	13	0
State Mutation Complete	159	0	12	12	0	0	13
Event Dispatch Begin	160	0	12	12	1	13	0
State Mutation Complete	160	0	12	12	0	0	13
Event Dispatch Begin	161	0	12	12	8	13	0
State Mutation Complete	161	0	12	12	0	0	13
Event Dispatch Begin	162	0	12	12	1	13	0
State Mutation Complete	162	0	12	12	0	0	13
Event Dispatch Begin	163	0	12	12	8	13	0
State Mutation Complete	163	0	12	12	0	0	13
Event Dispatch Begin	164	0	12	12	1	13	0
State Mutation Complete	164	0	12	12	0	0	13
Event Dispatch Begin	165	0	12	12	8	13	0
State Mutation Complete	165	0	12	12	0	0	13
Event Dispatch Begin	166	0	12	12	1	13	0
State Mutation Complete	166	0	12	12	0	0	13
Event Dispatch Begin	167	0	12	12	8	13	0
State Mutation Complete	167	0	12	12	0	0	13
Atlas Publication Begin	168	14	13	13	25	0	0
Atlas Publication Complete	168	14	13	13	2	4608	1
Event Dispatch Begin	168	0	12	12	5	13	0
Frame Build Begin	168	14	13	13	1148190720	1141309440	0
Frame Build Complete	168	14	13	13	30	25	0
Glyph Atlas Summary	168	14	13	13	24	1	70400
Layout Cache Summary	168	14	13	13	0	1	1632
State Mutation Complete	168	0	13	13	1	1	14
Text Summary	168	14	13	13	2	1	1
Visible Layout Begin	168	14	13	13	0	0	0
Visible Layout Complete	168	14	13	13	1	0	0
Event Dispatch Begin	169	0	13	13	8	14	0
State Mutation Complete	169	0	13	13	0	0	14
Event Dispatch Begin	170	0	13	13	1	14	0
State Mutation Complete	170	0	13	13	0	0	14
Event Dispatch Begin	171	0	13	13	8	14	0
State Mutation Complete	171	0	13	13	0	0	14
Event Dispatch Begin	172	0	13	13	1	14	0
State Mutation Complete	172	0	13	13	0	0	14
Event Dispatch Begin	173	0	13	13	8	14	0
State Mutation Complete	173	0	13	13	0	0	14
Event Dispatch Begin	174	0	13	13	1	14	0
State Mutation Complete	174	0	13	13	0	0	14
Event Dispatch Begin	175	0	13	13	8	14	0
State Mutation Complete	175	0	13	13	0	0	14
Event Dispatch Begin	176	0	13	13	1	14	0
State Mutation Complete	176	0	13	13	0	0	14
Event Dispatch Begin	177	0	13	13	8	14	0
State Mutation Complete	177	0	13	13	0	0	14
Atlas Publication Begin	178	15	14	14	26	0	0
Atlas Publication Complete	178	15	14	14	0	0	0
Event Dispatch Begin	178	0	13	13	5	14	0
Frame Build Begin	178	15	14	14	1148190720	1141309440	0
Frame Build Complete	178	15	14	14	31	26	0
Glyph Atlas Summary	178	15	14	14	26	0	70400
Layout Cache Summary	178	15	14	14	0	1	1696
Native Display Link Target Latency	178	0	0	0	14684708	0	0
Native Event Handler Latency	178	0	0	0	33500	0	0
Native Frame Queue Latency	178	0	0	0	6371875	0	0
Native GPU Terminal Observed Latency	178	0	0	0	15046834	0	0
Native Presented Handler Latency	178	0	0	0	31544084	0	0
Native Submission Latency	178	0	0	0	92667	0	0
Native Target Presentation Latency	178	0	0	0	48017958	0	0
Native Terminal Record Latency	178	0	0	0	15047750	0	0
State Mutation Complete	178	0	14	14	1	1	15
Text Summary	178	15	14	14	2	0	1
Visible Layout Begin	178	15	14	14	0	0	0
Visible Layout Complete	178	15	14	14	1	0	0
Event Dispatch Begin	179	0	14	14	8	15	0
State Mutation Complete	179	0	14	14	0	0	15
Event Dispatch Begin	180	0	14	14	1	15	0
State Mutation Complete	180	0	14	14	0	0	15
Event Dispatch Begin	181	0	14	14	8	15	0
State Mutation Complete	181	0	14	14	0	0	15
Event Dispatch Begin	182	0	14	14	1	15	0
State Mutation Complete	182	0	14	14	0	0	15
Event Dispatch Begin	183	0	14	14	8	15	0
State Mutation Complete	183	0	14	14	0	0	15
Event Dispatch Begin	184	0	14	14	1	15	0
State Mutation Complete	184	0	14	14	0	0	15
Event Dispatch Begin	185	0	14	14	8	15	0
State Mutation Complete	185	0	14	14	0	0	15
Event Dispatch Begin	186	0	14	14	1	15	0
State Mutation Complete	186	0	14	14	0	0	15
Event Dispatch Begin	187	0	14	14	8	15	0
State Mutation Complete	187	0	14	14	0	0	15
Atlas Publication Begin	188	16	15	15	27	0	0
Atlas Publication Complete	188	16	15	15	0	0	0
Event Dispatch Begin	188	0	14	14	5	15	0
Frame Build Begin	188	16	15	15	1148190720	1141309440	0
Frame Build Complete	188	16	15	15	32	27	0
Glyph Atlas Summary	188	16	15	15	27	0	70400
Layout Cache Summary	188	16	15	15	0	1	1760
State Mutation Complete	188	0	15	15	1	1	16
Text Summary	188	16	15	15	2	0	1
Visible Layout Begin	188	16	15	15	0	0	0
Visible Layout Complete	188	16	15	15	1	0	0
Event Dispatch Begin	189	0	15	15	8	16	0
State Mutation Complete	189	0	15	15	0	0	16
Event Dispatch Begin	190	0	15	15	1	16	0
State Mutation Complete	190	0	15	15	0	0	16
Event Dispatch Begin	191	0	15	15	8	16	0
State Mutation Complete	191	0	15	15	0	0	16
Event Dispatch Begin	192	0	15	15	1	16	0
State Mutation Complete	192	0	15	15	0	0	16
Event Dispatch Begin	193	0	15	15	8	16	0
State Mutation Complete	193	0	15	15	0	0	16
Event Dispatch Begin	194	0	15	15	1	16	0
State Mutation Complete	194	0	15	15	0	0	16
Event Dispatch Begin	195	0	15	15	8	16	0
State Mutation Complete	195	0	15	15	0	0	16
Event Dispatch Begin	196	0	15	15	1	16	0
State Mutation Complete	196	0	15	15	0	0	16
Event Dispatch Begin	197	0	15	15	8	16	0
State Mutation Complete	197	0	15	15	0	0	16
Atlas Publication Begin	198	17	16	16	28	0	0
Atlas Publication Complete	198	17	16	16	2	6144	1
Event Dispatch Begin	198	0	15	15	5	16	0
Frame Build Begin	198	17	16	16	1148190720	1141309440	0
Frame Build Complete	198	17	16	16	33	28	0
Glyph Atlas Summary	198	17	16	16	27	1	70400
Layout Cache Summary	198	17	16	16	0	1	1824
State Mutation Complete	198	0	16	16	1	1	17
Text Summary	198	17	16	16	2	1	1
Visible Layout Begin	198	17	16	16	0	0	0
